command_hex,command,handler_type,handler_name,parameter,direct_nmi_query,subsystem_annotation,description,chain_records,chips,primary_offset_or_speech_index,primary_pointer,speech_length
0x00,0,3,Jump Table Dispatch,0,,CONTROL,Clear/reinitialize all audio state (self-test stop),0,,,,
0x01,1,0,Parameter Shift,60,,CONTROL,Set filter to $F0: suppress speech and most sounds; theme/coins survive,0,,,,
0x02,2,0,Parameter Shift,0,,CONTROL,Clear global filter threshold,0,,,,
0x03,3,255,Invalid/Unused,0,input_event_status,STATUS,Status query: read cached input/event fields ($44) -> main CPU [NMI handler 0],0,,,,
0x04,4,7,POKEY/YM2151 Sequence,0,,MUSIC,Music Chip Test,8,YM2151,0,26892,
0x05,5,7,POKEY/YM2151 Sequence,1,,SFX,Effects Chip Test,4,POKEY,8,26680,
0x06,6,255,Invalid/Unused,0,fixed_db_reply,STATUS,Operator-test selector bound: fixed $DB reply -> main CPU [NMI handler 1],0,,,,
0x07,7,255,Invalid/Unused,0,error_heartbeat,STATUS,Status query: return error flags and arm heartbeats [NMI handler 2],0,,,,
0x08,8,11,TMS5220 Speech,0,,SPEECH,Speech Chip Test,0,,0,34621,247
0x09,9,7,POKEY/YM2151 Sequence,2,,SFX,Warrior Joins In,3,YM2151,12,32135,
0x0A,10,7,POKEY/YM2151 Sequence,3,,SFX,Valkyrie Joins In,4,YM2151,15,32174,
0x0B,11,7,POKEY/YM2151 Sequence,4,,SFX,Wizard Joins In,8,YM2151,19,32242,
0x0C,12,7,POKEY/YM2151 Sequence,5,,SFX,Elf Joins In,2,YM2151,27,32320,
0x0D,13,7,POKEY/YM2151 Sequence,6,,SFX,Food Eaten,2,YM2151,29,32693,
0x0E,14,7,POKEY/YM2151 Sequence,7,,SFX,Red Player Exits,2,YM2151,31,32386,
0x0F,15,7,POKEY/YM2151 Sequence,8,,SFX,Blue Player Exits,2,YM2151,33,32444,
0x10,16,7,POKEY/YM2151 Sequence,9,,SFX,Yellow Player Exits,2,YM2151,35,32496,
0x11,17,7,POKEY/YM2151 Sequence,10,,SFX,Green Player Exits,2,YM2151,37,32552,
0x12,18,7,POKEY/YM2151 Sequence,11,,SFX,Doors Open,8,YM2151,39,32610,
0x13,19,7,POKEY/YM2151 Sequence,12,,SFX,Player Takes Key,2,YM2151,47,32663,
0x14,20,7,POKEY/YM2151 Sequence,13,,SFX,Warrior Dies,2,YM2151,49,33093,
0x15,21,7,POKEY/YM2151 Sequence,14,,SFX,Valkyrie Dies,2,YM2151,51,33149,
0x16,22,7,POKEY/YM2151 Sequence,15,,SFX,Wizard Dies,2,YM2151,53,33201,
0x17,23,7,POKEY/YM2151 Sequence,16,,SFX,Elf Dies,2,YM2151,55,33257,
0x18,24,7,POKEY/YM2151 Sequence,17,,SFX,Red Player's Heartbeat,2,YM2151,57,32733,
0x19,25,7,POKEY/YM2151 Sequence,18,,SFX,Blue Player's Heartbeat,2,YM2151,59,32757,
0x1A,26,7,POKEY/YM2151 Sequence,19,,SFX,Yellow Player's Heartbeat,2,YM2151,61,32779,
0x1B,27,7,POKEY/YM2151 Sequence,20,,SFX,Green Player's Heartbeat,2,YM2151,63,32801,
0x1C,28,7,POKEY/YM2151 Sequence,21,,SFX,Message Appears on Screen,2,YM2151,65,32995,
0x1D,29,7,POKEY/YM2151 Sequence,22,,SFX,Potion Used / Shot,8,YM2151,67,32891,
0x1E,30,7,POKEY/YM2151 Sequence,23,,SFX,Monster Hits PLayer,2,YM2151,75,32825,
0x1F,31,7,POKEY/YM2151 Sequence,24,,SFX,Ghost Hits Player,2,YM2151,77,32858,
0x20,32,7,POKEY/YM2151 Sequence,25,,SFX,Death Touches Player,2,YM2151,79,33411,
0x21,33,5,Stop Sound,32,,SFX,Death Silencer,0,,,,
0x22,34,7,POKEY/YM2151 Sequence,26,,SFX,Red Coin Slot,2,YM2151,81,33313,
0x23,35,7,POKEY/YM2151 Sequence,27,,SFX,Blue Coin Slot,2,YM2151,83,33335,
0x24,36,7,POKEY/YM2151 Sequence,28,,SFX,Yellow Coin Slot,2,YM2151,85,33353,
0x25,37,7,POKEY/YM2151 Sequence,29,,SFX,Green Coin Slot,2,YM2151,87,33375,
0x26,38,7,POKEY/YM2151 Sequence,30,,SFX,Treasure / Potion Taken,2,YM2151,89,33397,
0x27,39,7,POKEY/YM2151 Sequence,31,,SFX,Trap / Walls Turn to Exits,8,YM2151,91,33629,
0x28,40,7,POKEY/YM2151 Sequence,32,,SFX,Transporter,8,YM2151,99,33524,
0x29,41,7,POKEY/YM2151 Sequence,33,,SFX,Thief Warning,8,YM2151,107,33441,
0x2A,42,7,POKEY/YM2151 Sequence,34,,SFX,Treasure Chest Opens,1,YM2151,115,26340,
0x2B,43,7,POKEY/YM2151 Sequence,35,,SFX,Cylical Walls,1,YM2151,116,26415,
0x2C,44,7,POKEY/YM2151 Sequence,36,,SFX,Shots Reflecting,1,YM2151,117,26505,
0x2D,45,7,POKEY/YM2151 Sequence,37,,SFX,Mugger Warning,1,YM2151,118,26486,
0x2E,46,7,POKEY/YM2151 Sequence,38,,SFX,Player Touches Force Field,1,YM2151,119,26447,
0x2F,47,5,Stop Sound,46,,SFX,Force Field Silencer,0,,,,
0x30,48,7,POKEY/YM2151 Sequence,39,,SFX,Secret Wall Shot,1,YM2151,120,26613,
0x31,49,7,POKEY/YM2151 Sequence,40,,SFX,Exit Moving,1,YM2151,121,26466,
0x32,50,7,POKEY/YM2151 Sequence,41,,SFX,High Tone Stun Tile,1,YM2151,122,26639,
0x33,51,7,POKEY/YM2151 Sequence,42,,SFX,Medium Tone Stun Tile,1,YM2151,123,26648,
0x34,52,7,POKEY/YM2151 Sequence,43,,SFX,Low Tone Stun Tile,1,YM2151,124,26657,
0x35,53,7,POKEY/YM2151 Sequence,44,,SFX,Player Touches IT,1,YM2151,125,26459,
0x36,54,7,POKEY/YM2151 Sequence,45,,SFX,Acid Puddle Slimes Player,1,YM2151,126,32024,
0x37,55,7,POKEY/YM2151 Sequence,46,,SFX,Slow Motion,1,YM2151,127,26620,
0x38,56,7,POKEY/YM2151 Sequence,47,,SFX,End of Slow Motion,1,YM2151,128,26630,
0x39,57,5,Stop Sound,55,,SFX,Slow Motion Silencer,0,,,,
0x3A,58,7,POKEY/YM2151 Sequence,48,,SFX,Player Shoots Dragon,1,YM2151,129,32031,
0x3B,59,7,POKEY/YM2151 Sequence,49,,MUSIC,Gauntlet II Theme Song / Secret Room,8,YM2151,130,31107,
0x3C,60,9,Fade Out Sound,59,,MUSIC,Theme Song Fade out,0,,,,
0x3D,61,7,POKEY/YM2151 Sequence,50,,MUSIC,Treasure Room Music (4 Players),8,YM2151,138,29660,
0x3E,62,7,POKEY/YM2151 Sequence,51,,MUSIC,Treasure Room Music (3 Players),8,YM2151,146,29684,
0x3F,63,7,POKEY/YM2151 Sequence,52,,MUSIC,Treasure Room Music (2 Players),8,YM2151,154,29708,
0x40,64,7,POKEY/YM2151 Sequence,53,,MUSIC,Treasure Room Music (1 Player),8,YM2151,162,29732,
0x41,65,10,Fade Out by Status,2,,MUSIC,Treasure Room Music Fade Out,0,,,,
0x42,66,7,POKEY/YM2151 Sequence,54,,MUSIC,Music at Beginning of Each Level,5,YM2151,170,31873,
0x43,67,7,POKEY/YM2151 Sequence,55,,SFX,Unable to Join In,1,POKEY,175,25961,
0x44,68,7,POKEY/YM2151 Sequence,56,,SFX,No Potions,1,POKEY,176,25989,
0x45,69,7,POKEY/YM2151 Sequence,57,,SFX,Axe,1,POKEY,177,26248,
0x46,70,7,POKEY/YM2151 Sequence,58,,SFX,Fireball,1,POKEY,178,26150,
0x47,71,7,POKEY/YM2151 Sequence,59,,SFX,Sword,1,POKEY,179,26195,
