batch,root,instructions_reachable,last_reachable,termination,new_targets,confidence
1,0x5A25,5,0x5A2E,unconditional_jump,0x5A2C;0x4002,Verified
2,0x4002,64,0x4085,batch_limit,0x4021;0x402C;0x4032;0x403D;0x404A;0x4067;0x406D;0x4076;0x4081;0x4087;0x408F;0x40C8;0x4142;0x4157;0x4183,Verified
3,0x4087,64,0x410A,batch_limit,0x405F;0x406D;0x408F;0x40B3;0x40C8;0x410D;0x415F;0x4183;0x41E6;0x5833;0x5A0B,Verified
4,0x410D,64,0x418B,batch_limit,0x4104;0x4124;0x4127;0x4136;0x413F;0x4142;0x414F;0x4153;0x4157;0x415C;0x415F;0x4169;0x416D;0x4182;0x4183;0x4187;0x418E;0x432E,Verified
5,0x418E,64,0x4216,batch_limit,0x40EC;0x419D;0x41AB;0x41BC;0x41C4;0x41C8;0x41DE;0x41E6;0x4206;0x4218;0x4295;0x500D;0x5894;0x8381,Verified
6,0x4218,64,0x429C,batch_limit,0x421A;0x423F;0x4257;0x425E;0x4277;0x428D;0x4293;0x4295;0x429E;0x42D7;0x4FF0,Verified
7,0x429E,64,0x430D,batch_limit,0x429E;0x42B3;0x42B8;0x42C6;0x42D4;0x42D7;0x42F9;0x430E;0x4313,Verified
8,0x430E,64,0x437F,batch_limit,0x42FB;0x4313;0x432B;0x432E;0x4346;0x4347;0x434C;0x4359;0x4369;0x4374;0x4381,Verified
9,0x4381,64,0x43F5,batch_limit,0x437A;0x4388;0x438D;0x439E;0x43AA;0x43AE;0x43AF;0x43C6;0x43D2;0x43D4;0x4406;0x440A;0x43F7,Verified
10,0x43F7,64,0x4477,batch_limit,0x43E5;0x440A;0x440B;0x4411;0x4434;0x4439;0x4444;0x4445;0x4452;0x445B;0x4461;0x4481;0x44A7;0x4479;0x5932,Verified
11,0x4479,64,0x44F5,batch_limit,0x4481;0x44A6;0x44A7;0x44A8;0x44B8;0x44BD;0x44C8;0x44CB;0x44D7;0x44DE;0x44F7;0x44F8;0x44FA;0x44FD;0x5059,Verified
12,0x44F7,64,0x4587,batch_limit,0x44ED;0x44F8;0x44FD;0x4502;0x4525;0x4528;0x4532;0x458A,Verified
13,0x458A,64,0x4618,return,0x42F9;0x44FD;0x45BF;0x45C2;0x45CC;0x45CF;0x45D7;0x45F1;0x45FC;0x4602;0x4618;0x4619,Verified
14,0x4619,14,0x4632,return,0x4632;0x4651,Verified
15,0x4651,64,0x46EA,batch_limit,0x4658;0x4666;0x4669;0x4698;0x46C2;0x46CC;0x46E6;0x46FD;0x46ED;0x4719;0x4809;0x49A5;0x4B45,Verified
16,0x46ED,64,0x4780,batch_limit,0x46FD;0x4708;0x4716;0x4719;0x4727;0x473E;0x4749;0x4752;0x4756;0x4771;0x4781;0x47A4;0x47D4;0x4B5D;0x4B6B;0x4C16;0x5029,Verified
17,0x4781,64,0x4815,batch_limit,0x4719;0x47BD;0x47D4;0x47E1;0x4809;0x4818;0x4844;0x42D7,Verified
18,0x4818,64,0x48A9,batch_limit,0x483E;0x4841;0x4844;0x4854;0x488B;0x48AC;0x48C5;0x48EF;0x4B45;0x4B5D;0x42F9;0x558F,Verified
19,0x48AC,64,0x4940,batch_limit,0x48C5;0x48D7;0x48EF;0x491C;0x4931;0x4934;0x4942;0x4948;0x4809;0x4B6B;0x4C16,Verified
20,0x4942,64,0x49D4,batch_limit,0x4948;0x497E;0x49A2;0x49A5;0x49B5;0x49C5;0x49D5;0x49D9;0x4B45;0x4B5D,Verified
21,0x49D5,64,0x4A52,batch_limit,0x49DE;0x49F6;0x49FB;0x4A0F;0x4A1F;0x4A31;0x4A34;0x4A3E;0x4A53;0x4A6F,Verified
22,0x4A53,64,0x4ADF,batch_limit,0x4A6F;0x4AA5;0x4AAA;0x4AC2;0x4AC7;0x4ADB;0x4AE1;0x4AE7;0x4AFC;0x4B3F,Verified
23,0x4AE1,64,0x4B6A,return,0x4651;0x4A9F;0x4AF9;0x4B0A;0x4B1C;0x4B27;0x4B31;0x4B39;0x4B3F;0x4B45;0x4B47;0x4B5D;0x4B6A;0x4B6B,Verified
24,0x4B6B,64,0x4BF5,batch_limit,0x4B8D;0x4B8F;0x4BA5;0x4BA8;0x4BAD;0x4BC5;0x4BC9;0x4BD5;0x4BF2;0x4BF6;0x4C0D,Verified
25,0x4BF6,64,0x4C71,batch_limit,0x4BFF;0x4C0D;0x4C12;0x4C16;0x4C23;0x4C26;0x4C38;0x4C61;0x4C69;0x4C74;0x4CBD;0x5181,Verified
26,0x4C74,62,0x4D01,return,0x4CA2;0x4CB5;0x4CBD;0x4CDD;0x4CF0;0x4D01;0x4D02,Verified
27,0x4D02,64,0x4DA4,batch_limit,0x4651;0x4D54;0x4D79;0x4D87;0x4D92;0x4DAC;0x4DA6,Verified
28,0x4DA6,31,0x4DFB,multiple_returns,0x4DB7;0x4DD4;0x4DFC,Verified
29,0x4DFC,55,0x4E67,return,0x4D02;0x4E16;0x4E3D;0x4E68,Verified
30,0x4E68,64,0x4EFE,batch_limit,0x4651;0x4E6D;0x4E6E;0x4E82;0x4ECE;0x4EFF;0x4FF0,Verified
31,0x4EFF,64,0x4F82,batch_limit,0x4F27;0x4F38;0x4F3A;0x4F3C;0x4F7A;0x4F83;0x4F87,Verified
32,0x4F83,42,0x4FD5,return,0x4E68;0x4F3E;0x4FAF;0x4FB1;0x4FBD;0x4FD5;0x4FD6;0x4FF0,Verified
33,0x4FD6,15,0x4FEF,return,0x4E68;0x4FE2;0x4FF0;0x500D,Verified
34,0x4FF0,16,0x500C,return,0x4FF8;0x500B;0x500C;0x500D,Verified
35,0x500D,11,0x5026,tail_jumps,0x4DFC;0x4FD6;0x5023;0x5026,Verified
