address,entry_kind,source,classification_basis,confidence
0x4002,tail_jump_entry,0x5A2E,traversal_state,Verified
0x4021,internal_basic_block,0x4002,direct_branch_or_fallthrough_target,Verified
0x402C,internal_basic_block,0x4002,direct_branch_or_fallthrough_target,Verified
0x4032,internal_basic_block,0x4002,direct_branch_or_fallthrough_target,Verified
0x403D,internal_basic_block,0x4002,direct_branch_or_fallthrough_target,Verified
0x404A,internal_basic_block,0x4002,direct_branch_or_fallthrough_target,Verified
0x405F,internal_basic_block,0x4087,direct_branch_or_fallthrough_target,Verified
0x4067,internal_basic_block,0x4002,direct_branch_or_fallthrough_target,Verified
0x406D,internal_basic_block,0x4002;0x4087,direct_branch_or_fallthrough_target,Verified
0x4076,internal_basic_block,0x4002,direct_branch_or_fallthrough_target,Verified
0x4081,internal_basic_block,0x4002,direct_branch_or_fallthrough_target,Verified
0x4087,batch_continuation,0x4085,traversal_state,Verified
0x408F,internal_basic_block,0x4064,traversal_state,Verified
0x40B3,internal_basic_block,0x4087,direct_branch_or_fallthrough_target,Verified
0x40C8,tail_jump_entry,0x4029;0x40B5,traversal_state,Verified
0x40EC,internal_basic_block,0x418E,direct_branch_or_fallthrough_target,Verified
0x4104,internal_basic_block,0x410D,direct_branch_or_fallthrough_target,Verified
0x410D,batch_continuation,0x410A,traversal_state,Verified
0x4124,internal_basic_block,0x410D,direct_branch_or_fallthrough_target,Verified
0x4127,internal_basic_block,0x410D,direct_branch_or_fallthrough_target,Verified
0x4136,internal_basic_block,0x410D,direct_branch_or_fallthrough_target,Verified
0x413F,internal_basic_block,0x410D,direct_branch_or_fallthrough_target,Verified
0x4142,callable_subroutine,0x4071;0x407C,traversal_state,Verified
0x414F,internal_basic_block,0x410D,direct_branch_or_fallthrough_target,Verified
0x4153,internal_basic_block,0x410D,direct_branch_or_fallthrough_target,Verified
0x4157,tail_jump_entry,0x403A;0x4047;0x4144,traversal_state,Verified
0x415C,internal_basic_block,0x410D,direct_branch_or_fallthrough_target,Verified
0x415F,callable_subroutine,0x4096;0x409B;0x40A0,traversal_state,Verified
0x4169,internal_basic_block,0x410D,direct_branch_or_fallthrough_target,Verified
0x416D,internal_basic_block,0x410D,direct_branch_or_fallthrough_target,Verified
0x4182,internal_basic_block,0x410D,direct_branch_or_fallthrough_target,Verified
0x4183,callable_subroutine,0x4026;0x40A7,traversal_state,Verified
0x4187,vector_entry,IRQ_vector,traversal_state,Verified
0x418E,batch_continuation,0x418B,traversal_state,Verified
0x419D,internal_basic_block,0x418E,direct_branch_or_fallthrough_target,Verified
0x41AB,internal_basic_block,0x418E,direct_branch_or_fallthrough_target,Verified
0x41BC,internal_basic_block,0x418E,direct_branch_or_fallthrough_target,Verified
0x41C4,internal_basic_block,0x418E,direct_branch_or_fallthrough_target,Verified
0x41C8,callable_subroutine,0x41BC,traversal_state,Verified
0x41DE,internal_basic_block,0x418E,direct_branch_or_fallthrough_target,Verified
0x41E6,callable_subroutine,0x4100,traversal_state,Verified
0x4206,internal_basic_block,0x418E,direct_branch_or_fallthrough_target,Verified
0x4218,batch_continuation,0x4216,traversal_state,Verified
0x421A,internal_basic_block,0x4218,direct_branch_or_fallthrough_target,Verified
0x423F,internal_basic_block,0x4218,direct_branch_or_fallthrough_target,Verified
0x4257,internal_basic_block,0x4218,direct_branch_or_fallthrough_target,Verified
0x425E,internal_basic_block,0x4218,direct_branch_or_fallthrough_target,Verified
0x4277,internal_basic_block,0x4218,direct_branch_or_fallthrough_target,Verified
0x428D,internal_basic_block,0x4218,direct_branch_or_fallthrough_target,Verified
0x4293,internal_basic_block,0x4218,direct_branch_or_fallthrough_target,Verified
0x4295,callable_subroutine,0x41E8,traversal_state,Verified
0x429E,batch_continuation,0x429C,traversal_state,Verified
0x42B3,internal_basic_block,0x429E,direct_branch_or_fallthrough_target,Verified
0x42B8,internal_basic_block,0x429E,direct_branch_or_fallthrough_target,Verified
0x42C6,list_follow_entry,known_entry,traversal_state,Verified
0x42D4,internal_basic_block,0x429E;0x42C6,direct_branch_or_fallthrough_target,Verified
0x42D7,callable_subroutine,0x4299;0x42C8;0x4300,traversal_state,Verified
0x42F9,callable_subroutine,0x45F1;0x4820,traversal_state,Verified
0x42FB,internal_basic_block,0x42F9;0x430E,direct_branch_or_fallthrough_target,Verified
0x430E,batch_continuation,0x430D,traversal_state,Verified
0x4313,internal_basic_block,0x429E;0x42F9;0x430E,direct_branch_or_fallthrough_target,Verified
0x432B,internal_basic_block,0x42F9;0x430E,direct_branch_or_fallthrough_target,Verified
0x432E,callable_subroutine,0x413C,traversal_state,Verified
0x4346,internal_basic_block,0x430E,direct_branch_or_fallthrough_target,Verified
0x4347,table_dispatch_entry,handler_table_type_0,traversal_state,Verified
0x434C,table_dispatch_entry,handler_table_type_1,traversal_state,Verified
0x4359,table_dispatch_entry,handler_table_type_2,traversal_state,Verified
0x4369,table_dispatch_entry,handler_table_type_3,traversal_state,Verified
0x4374,table_dispatch_entry,handler_table_type_4,traversal_state,Verified
0x437A,internal_basic_block,0x4381,direct_branch_or_fallthrough_target,Verified
0x4381,batch_continuation,0x437F,traversal_state,Verified
0x4388,internal_basic_block,0x4381,direct_branch_or_fallthrough_target,Verified
0x438D,table_dispatch_entry,handler_table_type_5,traversal_state,Verified
0x439E,internal_basic_block,0x4381,direct_branch_or_fallthrough_target,Verified
0x43AA,internal_basic_block,0x4381,direct_branch_or_fallthrough_target,Verified
0x43AE,internal_basic_block,0x4381,direct_branch_or_fallthrough_target,Verified
0x43AF,table_dispatch_entry,handler_table_type_6,traversal_state,Verified
