address,state,source,entry_kind
0x4002,visited,0x5A2E,tail_jump_entry
0x4087,visited,0x4085,batch_continuation
0x408F,visited,0x4064,internal_basic_block
0x40C8,visited,0x4029;0x40B5,tail_jump_entry
0x410D,visited,0x410A,batch_continuation
0x4142,visited,0x4071;0x407C,callable_subroutine
0x4157,visited,0x403A;0x4047;0x4144,tail_jump_entry
0x415F,visited,0x4096;0x409B;0x40A0,callable_subroutine
0x4183,visited,0x4026;0x40A7,callable_subroutine
0x4187,visited,IRQ_vector,vector_entry
0x418E,visited,0x418B,batch_continuation
0x41C8,visited,0x41BC,callable_subroutine
0x4218,visited,0x4216,batch_continuation
0x4295,visited,0x41E8,callable_subroutine
0x429E,visited,0x429C,batch_continuation
0x42C6,visited,known_entry,list_follow_entry
0x42D7,visited,0x4299;0x42C8;0x4300,callable_subroutine
0x42F9,visited,0x45F1;0x4820,callable_subroutine
0x430E,visited,0x430D,batch_continuation
0x432E,visited,0x413C,callable_subroutine
0x4347,visited,handler_table_type_0,table_dispatch_entry
0x434C,visited,handler_table_type_1,table_dispatch_entry
0x4359,visited,handler_table_type_2,table_dispatch_entry
0x4369,visited,handler_table_type_3,table_dispatch_entry
0x4374,visited,handler_table_type_4,table_dispatch_entry
0x4381,visited,0x437F,batch_continuation
0x438D,visited,handler_table_type_5,table_dispatch_entry
0x43AF,visited,handler_table_type_6,table_dispatch_entry
0x43D4,visited,handler_table_type_9,table_dispatch_entry
0x43F7,visited,0x43F5,batch_continuation
0x440B,visited,handler_table_type_10,table_dispatch_entry
0x4439,visited,handler_table_type_11,table_dispatch_entry
0x4445,visited,handler_table_type_8,table_dispatch_entry
0x4461,visited,handler_table_type_12,table_dispatch_entry
0x4479,visited,0x4477,batch_continuation
0x44A8,visited,NMI_direct_table_query_7,table_dispatch_entry
0x44B8,visited,NMI_direct_table_query_6,table_dispatch_entry
0x44C8,visited,0x44AA;0x44BA,callable_subroutine
0x44DE,visited,handler_table_type_7,table_dispatch_entry
0x44F7,visited,0x44F5,batch_continuation
0x458A,visited,0x4587,batch_continuation
0x4618,visited,handler_table_type_14,table_dispatch_entry
0x4619,visited,handler_table_type_13,table_dispatch_entry
0x4651,visited,known_sequence_update_entry,callable_subroutine
0x46ED,visited,0x46EA,batch_continuation
0x4719,visited,0x4695,internal_basic_block
0x4781,visited,0x4780,batch_continuation
0x4B5D,visited,0x4716;0x4746;0x4B4F,internal_basic_block
0x4B6B,visited,0x46F7;0x4931,callable_subroutine
0x4BF6,visited,0x4BF5,batch_continuation
0x4C16,visited,0x4713;0x493D,callable_subroutine
0x4C74,visited,0x4C71,batch_continuation
0x4D02,visited,known_pokey_mix_entry,callable_subroutine
0x4DA6,visited,0x4DA4,batch_continuation
0x4DFC,visited,0x5023,tail_jump_entry
0x4E68,visited,0x4FE4,callable_subroutine
0x4EFF,visited,0x4EFE,batch_continuation
0x4F83,visited,0x4F82,batch_continuation
0x4FD6,visited,0x5026,tail_jump_entry
0x5181,visited,0x4C0D,callable_with_tail_exit
0x5715,visited,0x5188,tail_jump_entry
0x5754,visited,0x5751,batch_continuation
0x5755,visited,0x51A0,tail_jump_entry
0x57B0,visited,NMI_vector,vector_entry
0x582D,visited,0x582A,nmi_indirect_dispatcher
0x5029,visited,0x472D,callable_indirect_dispatcher
0x4809,visited,0x4666;0x46E3;0x47E4,internal_basic_block
0x4818,visited,0x4815,batch_continuation
0x4844,visited,0x47DE,internal_basic_block
0x48AC,visited,0x48A9,batch_continuation
0x4942,visited,0x4940,batch_continuation
0x49A5,visited,0x46C9;0x4952,internal_basic_block
0x49D5,visited,0x49D4,batch_continuation
0x4A53,visited,0x4A52,batch_continuation
0x4AE1,visited,0x4ADF,batch_continuation
0x558F,visited,0x483B,callable_subroutine
0x4B45,visited,0x46BF;0x49B2,internal_basic_block
0x5059,visited,0x44A3,tail_jump_entry
0x5932,visited,0x4441;0x58F6,tail_jump_entry
0x59A4,visited,0x59A3,batch_continuation
0x59E2,visited,0x5936,tail_jump_entry
0x4FF0,visited,0x425E;0x426A;0x4272;0x4279;0x428A;0x4E89;0x4E9C;0x4EAF;0x4EC2;0x4EE6;0x4F92;0x4F99;0x4FC4,callable_subroutine
0x5047,visited,known_sequence_read_helper,callable_subroutine
0x506F,visited,0x506A,callable_indirect_dispatcher
0x500D,visited,0x41D8;0x41E0,callable_with_tail_exits
0x5894,visited,0x41C8;0x41CB;0x41CE;0x41DB;0x41E3,callable_and_tail_jump_entry
0x591A,visited,0x5918,batch_continuation
0x8381,visited,0x41BF,callable_subroutine
0x83FA,visited,0x83F8,batch_continuation
0x843F,visited,NMI_direct_table_query_3,table_dispatch_entry
0x41E6,visited,0x4100,callable_subroutine
0x5833,visited,0x40EC,callable_subroutine
0x5A0B,visited,0x40CD,callable_subroutine
0x5A25,visited,RESET_vector,vector_entry
0x5A28,visited,0x5A25,fallthrough
0x5A2A,visited,0x5A28,fallthrough
0x5A2C,visited,0x5A2A,conditional_target_and_fallthrough
0x5A2E,visited,0x5A2C,fallthrough
0x5173,visited,opcode_table_0x80,bytecode_handler
0x516A,visited,opcode_table_0x81,bytecode_handler
0x5192,visited,opcode_table_0x82,bytecode_handler
0x517A,visited,opcode_table_0x83,bytecode_handler
0x51AE,visited,opcode_table_0x84,bytecode_handler
0x51AA,visited,opcode_table_0x85,bytecode_handler
0x515F,visited,opcode_table_0x86,bytecode_handler
0x5154,visited,opcode_table_0x87,bytecode_handler
0x50F1,visited,opcode_table_0x88,bytecode_handler
0x514B,visited,opcode_table_0x89,bytecode_handler
0x51B3,visited,opcode_table_0x8A,bytecode_handler
0x51B7,visited,opcode_table_0x8B,bytecode_handler
0x51E2,visited,opcode_table_0x8C,bytecode_handler
0x51E6,visited,opcode_table_0x8D,bytecode_handler
0x5214,visited,opcode_table_0x8E,bytecode_handler
0x523F,visited,opcode_table_0x8F,bytecode_handler
0x54CC,visited,opcode_table_0x90,bytecode_handler
0x54E5,visited,opcode_table_0x91,bytecode_handler
0x54F4,visited,opcode_table_0x96,bytecode_handler
0x54F9,visited,opcode_table_0x97,bytecode_handler
0x5515,visited,opcode_table_0x99,bytecode_handler
0x5524,visited,opcode_table_0x9A,bytecode_handler
0x51CB,visited,opcode_table_0x9B,bytecode_handler
0x5206,visited,0x5203,batch_continuation
0x5280,visited,0x527D,batch_continuation
0x54B1,visited,opcode_table_0x9C,bytecode_handler
0x5535,visited,opcode_table_0x9D,bytecode_handler_with_shared_tail
0x5613,visited,opcode_table_0x9E,bytecode_handler
0x5655,visited,opcode_table_0x9F,bytecode_handler
0x568A,visited,opcode_table_0xA0,bytecode_handler
0x5676,visited,0x562C;0x5631;0x5636;0x563B;0x566F,callable_subroutine
0x5696,visited,0x5695,batch_continuation
0x56CB,visited,opcode_table_0xA2,bytecode_handler
0x56AF,visited,opcode_table_0xA3,bytecode_handler
0x5271,visited,opcode_table_0xA4,bytecode_handler
0x5703,visited,opcode_table_0xA6,bytecode_handler
0x56DC,visited,opcode_table_0xA7,bytecode_handler
0x5711,visited,opcode_table_0xA8,bytecode_handler
0x529E,visited,opcode_table_0xA9,bytecode_handler
0x52AA,visited,opcode_table_0xAA,bytecode_handler
0x52B4,visited,opcode_table_0xAB,bytecode_handler
0x52BA,visited,opcode_table_0xAC,bytecode_handler
0x52C0,visited,opcode_table_0xAD,bytecode_handler
0x5320,visited,opcode_table_0xAE,bytecode_handler
0x5347,visited,opcode_table_0xAF,bytecode_handler
0x5375,visited,opcode_table_0xB0,bytecode_handler
0x53C2,visited,opcode_table_0xB1,bytecode_handler
0x53FB,visited,opcode_table_0xB2,bytecode_handler
0x52C6,visited,opcode_table_0xB3,bytecode_handler
0x52F3,visited,opcode_table_0xB4,bytecode_handler
0x5379,visited,0x5377,batch_continuation
0x5444,visited,0x53FB;0x5401;0x5410;0x5417;0x541E;0x5425,callable_subroutine
0x5488,visited,0x5486,batch_continuation
0x5514,visited,0x5513,batch_continuation
0x5410,visited,opcode_table_0xB5,bytecode_handler
0x5417,visited,opcode_table_0xB6,bytecode_handler
0x541E,visited,opcode_table_0xB7,bytecode_handler
0x5425,visited,opcode_table_0xB8,bytecode_handler
0x5401,visited,opcode_table_0xB9,bytecode_handler
0x5404,visited,opcode_table_0xBA,bytecode_handler
