start,end_inclusive,size,name,classification,confidence
0x4000,0x5C5E,7263,program_and_embedded_tables,mixed,partial
0x5C5F,0x5C7E,32,duration_table,data,verified
0x5C7F,0x5C8E,16,fade_rate_shift_control_table,data,verified
0x5C8F,0x5D0E,128,pokey_volume_shape_table_8x16,data,verified
0x5D0F,0x5DE9,219,nmi_validation_table,data,verified
0x5DEA,0x5EC4,219,command_handler_type_table,data,verified
0x5EC5,0x5F9F,219,command_parameter_table,data,verified
0x5FA0,0x5FA7,8,type3_and_nmi_target_table,data,verified
0x5FA8,0x5FE5,62,type7_start_offsets,data,verified
0x5FE6,0x6023,62,type7_command_flags,data,verified
0x6024,0x60D9,182,type7_priorities,data,verified
0x60DA,0x618F,182,type7_hardware_channels,data,verified
0x6190,0x62FB,364,type7_sequence_pointers,data,verified
0x62FC,0x63B1,182,type7_next_links,data,verified
0x63B2,0x643E,141,speech_indices,data,verified
0x643F,0x64CB,141,speech_clock_flags,data,verified
0x64CC,0x6558,141,speech_priorities,data,verified
0x6559,0x8380,7720,type7_bytecode_and_support_data,mixed,partial
0x8381,0x843E,190,board_control_code,code,verified
0x843F,0x8446,8,nmi_direct_handlers,code,verified
0x8447,0x8448,2,unreferenced_gap,unknown,strong_inference
0x8449,0x85C2,378,speech_pointer_table,data,verified
0x85C3,0x873C,378,speech_length_table,data,verified
0x873D,0xFECC,30608,tms5220_lpc_corpus,data,verified
0xFECD,0xFECD,1,unindexed_trailing_ff,unknown,strong_inference
0xFECE,0xFFF5,296,zero_padding,unused,strong_inference
0xFFF6,0xFFF9,4,pre_vector_bytes,unknown,strong_inference
0xFFFA,0xFFFF,6,interrupt_vectors,data,verified
