start,end_inclusive,size,classification,owners_or_data,next_action
0x4002,0x4017,22,semantic_owned,initialization_main,none
0x4018,0x401D,6,semantic_owned,initialization_main;nmi_protocol,none
0x401E,0x401E,1,semantic_owned,nmi_protocol,none
0x401F,0x4029,11,semantic_owned,initialization_main;nmi_protocol,none
0x402A,0x4056,45,semantic_owned,initialization_main,none
0x4057,0x408D,55,semantic_owned,initialization_main;nmi_protocol,none
0x408E,0x408E,1,semantic_owned,initialization_main,none
0x408F,0x4103,117,semantic_owned,initialization_main;nmi_protocol,none
0x4104,0x4186,131,semantic_owned,initialization_main,none
0x4187,0x44BC,822,semantic_owned,control_plane,none
0x44BD,0x44C7,11,semantic_owned,control_plane;nmi_protocol,none
0x44C8,0x4632,363,semantic_owned,control_plane,none
0x4633,0x4650,30,known_data_exclusion,command_handler_target_table,none
0x4651,0x4B6A,1306,semantic_owned,channel_engine,none
0x4B6B,0x4D01,407,semantic_owned,support_staging,none
0x4D02,0x5028,807,semantic_owned,physical_output,none
0x5029,0x507A,82,semantic_owned,bytecode_engine,none
0x507B,0x50F0,118,known_data_exclusion,bytecode_opcode_target_table,none
0x50F1,0x578F,1695,semantic_owned,bytecode_engine,none
0x5790,0x57AF,32,known_data_exclusion,ym_tl_and_hardware_configuration_tables,none
0x57B0,0x5832,131,semantic_owned,nmi_protocol,none
0x5833,0x5873,65,semantic_owned,speech_lifecycle,none
0x5874,0x5893,32,known_data_exclusion,dummy_speech_payload,none
0x5894,0x5A0A,375,semantic_owned,speech_lifecycle,none
0x5A0B,0x5A30,38,semantic_owned,initialization_main,none
0x8381,0x83A3,35,semantic_owned,board_control,none
0x83A4,0x83AB,8,known_data_exclusion,board_input_field_masks,none
0x83AC,0x8446,155,semantic_owned,board_control,none
