event,consumer_or_device,derivation,frequency_hz,period_seconds,evidence,confidence
master_xtal,board,14318181 Hz,14318181.0,6.984127383219978e-08,upstream MAME gauntlet.cpp configuration; ROM scheduler anchors; independent schematic calculation (user-confirmed 2026-07-12),Verified clock tree by independent schematic calculation
pixel_clock,video,master/2,7159090.5,1.3968254766439956e-07,upstream MAME gauntlet.cpp configuration; ROM scheduler anchors; independent schematic calculation (user-confirmed 2026-07-12),Verified clock tree by independent schematic calculation
frame,video,pixel/(456*262),59.92274758939333,0.016688153334561143,upstream MAME gauntlet.cpp configuration; ROM scheduler anchors; independent schematic calculation (user-confirmed 2026-07-12),Verified clock tree by independent schematic calculation
sound_irq,$4187,"4/frame: 32V assertions at scanlines 32,96,160,224",239.69099035757333,0.004172038333640286,upstream MAME gauntlet.cpp configuration; ROM scheduler anchors; independent schematic calculation (user-confirmed 2026-07-12),Verified clock tree by independent schematic calculation
POKEY_full_sweep,$41D6->$500D X=0,sound_irq/2; odd $00 parity,119.84549517878666,0.008344076667280572,upstream MAME gauntlet.cpp configuration; ROM scheduler anchors; independent schematic calculation (user-confirmed 2026-07-12),Verified ROM parity; Verified clock tree by independent schematic calculation
YM_full_sweep,$41DE->$500D X=1,sound_irq/2; even $00 parity,119.84549517878666,0.008344076667280572,upstream MAME gauntlet.cpp configuration; ROM scheduler anchors; independent schematic calculation (user-confirmed 2026-07-12),Verified ROM parity; Verified clock tree by independent schematic calculation
speech_service_attempt,$41C8->$5894,4/sound_irq,958.7639614302933,0.0010430095834100715,upstream MAME gauntlet.cpp configuration; ROM scheduler anchors; independent schematic calculation (user-confirmed 2026-07-12),Verified ROM call count; READY-limited writes
6502_clock,CPU,master/8,1789772.625,5.587301906575982e-07,upstream MAME gauntlet.cpp configuration; ROM scheduler anchors; independent schematic calculation (user-confirmed 2026-07-12),Verified clock tree by independent schematic calculation
POKEY_clock,POKEY,master/8,1789772.625,5.587301906575982e-07,upstream MAME gauntlet.cpp configuration; ROM scheduler anchors; independent schematic calculation (user-confirmed 2026-07-12),Verified clock tree by independent schematic calculation
YM2151_clock,YM2151,master/4,3579545.25,2.793650953287991e-07,upstream MAME gauntlet.cpp configuration; ROM scheduler anchors; independent schematic calculation (user-confirmed 2026-07-12),Verified clock tree by independent schematic calculation
TMS5220_normal_clock,TMS5220,master/2/11,650826.4090909091,1.536508024308395e-06,upstream MAME gauntlet.cpp configuration; ROM scheduler anchors; independent schematic calculation (user-confirmed 2026-07-12),Verified clock tree by independent schematic calculation
TMS5220_squeak_clock,TMS5220,master/2/9,795454.5,1.257142928979596e-06,upstream MAME gauntlet.cpp configuration; ROM scheduler anchors; independent schematic calculation (user-confirmed 2026-07-12),Verified clock tree by independent schematic calculation
channel_timer_service,$4651,once per matching physical-device sweep,119.84549517878666,0.008344076667280572,upstream MAME gauntlet.cpp configuration; ROM scheduler anchors; independent schematic calculation (user-confirmed 2026-07-12),Verified ROM scheduling and clock source
speech_watchdog_even_phase,$58AB-$58C8,32 sound-IRQ intervals from first sustained not-ready sample when $00 is even,7.4903434486741665,0.13350522667648915,ROM watchdog arithmetic; MAME active-low READY mapping,Verified ROM intervals and clock-to-seconds conversion
speech_watchdog_odd_phase,$58AB-$58C8,33 sound-IRQ intervals from first sustained not-ready sample when $00 is odd,7.263363344168889,0.13767726501012942,ROM watchdog arithmetic; MAME active-low READY mapping,Verified ROM intervals and clock-to-seconds conversion
