command,chain_channel,variant,sequence_start,notes,rests,initial_tempo,final_tempo,tempo_changes,repeat_replays,first_event_update,end_update,elapsed_intervals,elapsed_seconds,final_signed_residue,scope,confidence
0x04,1,default,0x690C,2,0,16,16,0,0,1,121,120,1.0012892000736686,-16,finite linear stream; default tempo $10; primary durations only,Verified timer arithmetic and clock-to-seconds conversion
0x04,2,default,0x691F,2,1,16,16,0,0,1,241,240,2.0025784001473372,-16,finite linear stream; default tempo $10; primary durations only,Verified timer arithmetic and clock-to-seconds conversion
0x04,3,default,0x692E,2,2,16,16,0,0,1,361,360,3.003867600221006,-16,finite linear stream; default tempo $10; primary durations only,Verified timer arithmetic and clock-to-seconds conversion
0x04,4,default,0x693F,2,3,16,16,0,0,1,481,480,4.0051568002946745,-16,finite linear stream; default tempo $10; primary durations only,Verified timer arithmetic and clock-to-seconds conversion
0x04,5,default,0x6952,2,1,16,16,0,0,1,601,600,5.006446000368343,-16,finite linear stream; default tempo $10; primary durations only,Verified timer arithmetic and clock-to-seconds conversion
0x04,6,default,0x6961,2,2,16,16,0,0,1,721,720,6.007735200442012,-16,finite linear stream; default tempo $10; primary durations only,Verified timer arithmetic and clock-to-seconds conversion
0x04,7,default,0x6972,2,3,16,16,0,0,1,841,840,7.00902440051568,-16,finite linear stream; default tempo $10; primary durations only,Verified timer arithmetic and clock-to-seconds conversion
0x09,1,default,0x7D87,1,1,16,60,1,0,1,105,104,0.8677839733971794,-16,SET_TEMPO $F0 -> $3C; finite linear stream,Verified timer/control arithmetic and clock-to-seconds conversion
0x09,2,default,0x7D94,1,1,16,60,1,0,1,105,104,0.8677839733971794,-16,SET_TEMPO $F0 -> $3C; finite linear stream,Verified timer/control arithmetic and clock-to-seconds conversion
0x09,3,default,0x7DA1,1,1,16,60,1,0,1,105,104,0.8677839733971794,-16,SET_TEMPO $F0 -> $3C; finite linear stream,Verified timer/control arithmetic and clock-to-seconds conversion
0x2A,1,default,0x66E4,12,0,16,6,12,0,1,69,68,0.5673972133750789,-4,SET_TEMPO plus eleven modulo ADD_TEMPO decrements,Verified timer/control arithmetic and clock-to-seconds conversion
0x1C,1,default,0x80E3,12,12,16,42,1,1,1,275,274,2.2862770068348763,-4,$8E count 2 repeats the eight-event body,Verified timer/control arithmetic and clock-to-seconds conversion
0x20,1,default,0x8283,10,0,16,12,1,9,1,6400,6399,53.39374659392838,-4,$8E count 10 repeats one sustained whole note,Verified timer/control arithmetic and clock-to-seconds conversion
0x2B,1,rng_value_00,0x672F,1,0,16,16,0,0,1,61,60,0.5006446000368343,-16,Verified-feasible POKEY RNG computed target 0 at $6736,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2B,1,rng_value_01,0x672F,1,0,16,16,0,0,1,61,60,0.5006446000368343,-16,Verified-feasible POKEY RNG computed target 1 at $6736,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2B,1,rng_value_02,0x672F,1,0,16,16,0,0,1,61,60,0.5006446000368343,-16,Verified-feasible POKEY RNG computed target 2 at $6736,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2B,1,rng_value_03,0x672F,1,0,16,16,0,0,1,61,60,0.5006446000368343,-16,Verified-feasible POKEY RNG computed target 3 at $6736,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_00,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 0 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_01,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 1 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_02,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 2 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_03,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 3 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_04,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 4 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_05,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 5 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_06,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 6 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_07,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 7 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_08,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 8 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_09,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 9 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_0A,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 10 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_0B,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 11 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_0C,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 12 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_0D,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 13 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_0E,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 14 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x2C,1,rng_value_0F,0x6789,1,0,16,40,1,0,1,13,12,0.10012892000736685,-16,Verified-feasible POKEY RNG computed target 15 at $6794,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_00,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 0 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_01,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 1 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_02,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 2 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_03,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 3 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_04,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 4 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_05,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 5 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_06,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 6 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_07,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 7 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_08,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 8 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_09,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 9 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_0A,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 10 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_0B,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 11 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_0C,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 12 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_0D,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 13 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_0E,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 14 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
0x3A,1,rng_value_0F,0x7D1F,1,0,16,16,0,0,1,121,120,1.0012892000736686,-16,Verified-feasible POKEY RNG computed target 15 at $7D26,Verified branch/timer arithmetic and clock-to-seconds conversion
