command,parameter,index,pointer,length,end_exclusive,flags,priority,frames,silent_frames,stop_frames,repeat_frames,unvoiced_frames,voiced_frames,parsed_bits,truncated_frame
8,0,0,34621,247,34868,0,0,55,7,1,0,20,27,1962,False
74,1,1,34868,140,35008,0,0,23,0,1,0,0,22,1104,False
75,2,2,35008,116,35124,0,0,20,0,1,0,2,17,912,False
76,3,3,35124,137,35261,0,0,23,0,1,0,1,21,1083,False
77,4,4,35261,132,35393,0,0,23,0,1,1,1,20,1044,False
78,5,5,35393,149,35542,0,0,27,1,1,1,2,22,1177,False
79,6,6,35542,88,35630,0,0,23,3,1,0,13,6,693,False
80,7,7,35630,119,35749,0,0,21,0,1,0,3,17,941,False
81,8,8,35749,71,35820,0,0,21,7,1,1,4,8,559,False
82,9,9,35820,146,35966,0,0,24,0,1,0,0,23,1154,False
83,10,10,35966,111,36077,0,0,20,0,1,1,2,16,873,False
84,11,11,36077,153,36230,0,0,26,0,1,0,2,23,1212,False
85,12,14,36232,414,36646,0,0,73,2,1,0,10,60,3302,False
86,13,15,36646,455,37101,0,0,83,6,1,2,6,68,3624,False
87,14,16,37101,374,37475,0,0,63,0,1,0,6,56,2978,False
88,15,17,37475,401,37876,0,0,67,0,1,0,5,61,3199,False
89,16,22,37880,181,38061,0,0,30,0,1,0,1,28,1433,False
90,17,24,38062,324,38386,0,0,61,6,1,0,7,47,2581,False
91,18,28,38389,496,38885,0,0,88,0,1,0,19,68,3955,False
92,19,29,38885,355,39240,0,0,64,2,1,0,11,50,2831,False
93,20,31,39241,287,39528,0,0,49,0,1,2,2,44,2284,False
94,21,32,39528,406,39934,0,0,69,1,1,0,6,61,3232,False
95,22,34,39935,485,40420,0,0,86,2,1,0,14,69,3868,False
96,23,35,40420,350,40770,0,0,63,2,1,1,9,50,2784,False
97,24,36,40770,397,41167,0,0,70,0,1,0,14,55,3160,False
98,25,37,41167,200,41367,0,0,37,1,1,0,8,27,1590,False
99,26,38,41367,216,41583,0,0,41,3,1,0,7,30,1719,False
100,27,39,41583,172,41755,0,0,31,0,1,3,1,26,1366,False
101,28,40,41755,193,41948,0,0,40,6,1,0,7,26,1531,False
102,29,41,41948,122,42070,0,0,21,0,1,0,2,18,962,False
103,30,42,42070,103,42173,0,0,18,0,1,0,2,15,812,False
104,31,43,42173,243,42416,0,0,40,0,1,0,1,38,1933,False
105,32,57,42429,177,42606,0,0,29,0,1,0,0,28,1404,False
106,33,58,42606,143,42749,0,0,24,0,1,0,1,22,1133,False
107,34,59,42749,115,42864,0,0,19,0,1,0,0,18,904,False
108,35,60,42864,108,42972,0,0,18,0,1,0,0,17,854,False
109,36,61,42972,108,43080,0,0,18,0,1,0,0,17,854,False
110,37,62,43080,77,43157,0,0,13,0,1,0,0,12,604,False
111,38,63,43157,108,43265,0,0,18,0,1,0,0,17,854,False
112,39,64,43265,149,43414,0,0,25,0,1,0,1,23,1183,False
113,40,65,43414,246,43660,0,0,40,0,1,0,0,39,1954,False
114,41,66,43660,163,43823,0,0,28,0,1,0,3,24,1291,False
115,42,67,43823,191,44014,0,0,32,0,1,0,2,29,1512,False
116,43,68,44014,200,44214,0,0,34,0,1,0,3,30,1591,False
117,44,69,44214,87,44301,0,0,15,0,1,0,1,13,683,False
118,45,73,44304,127,44431,128,0,21,0,1,0,0,20,1004,False
119,46,74,44431,165,44596,128,0,27,0,1,0,0,26,1304,False
120,47,75,44596,83,44679,128,0,14,0,1,0,0,13,654,False
121,48,76,44679,58,44737,128,0,10,0,1,0,0,9,454,False
122,49,77,44737,71,44808,128,0,12,0,1,0,0,11,554,False
123,50,78,44808,68,44876,128,0,12,0,1,0,1,10,533,False
124,51,79,44876,46,44922,128,0,8,0,1,0,0,7,354,False
125,52,80,44922,83,45005,128,0,14,0,1,0,0,13,654,False
126,53,81,45005,96,45101,128,0,16,0,1,0,0,15,754,False
127,54,82,45101,171,45272,128,0,28,0,1,0,0,27,1354,False
128,55,83,45272,165,45437,128,0,27,0,1,0,0,26,1304,False
129,56,84,45437,71,45508,0,0,12,0,1,0,0,11,554,False
130,57,85,45508,115,45623,0,0,19,0,1,0,0,18,904,False
131,58,86,45623,83,45706,0,0,14,0,1,0,0,13,654,False
132,59,87,45706,77,45783,0,0,13,0,1,0,0,12,604,False
133,60,88,45783,83,45866,0,0,14,0,1,0,0,13,654,False
134,61,89,45866,102,45968,0,0,17,0,1,0,0,16,804,False
135,62,90,45968,246,46214,0,0,40,0,1,0,0,39,1954,False
136,63,91,46214,127,46341,0,0,21,0,1,0,0,20,1004,False
137,64,92,46341,71,46412,128,0,12,0,1,0,0,11,554,False
138,65,94,46413,52,46465,128,0,9,0,1,0,0,8,404,False
139,66,97,46467,334,46801,0,0,65,4,1,0,17,43,2663,False
140,67,98,46801,496,47297,0,0,95,4,1,1,25,64,3956,False
141,68,100,47298,211,47509,0,0,37,0,1,0,6,30,1678,False
142,69,101,47509,322,47831,0,0,54,1,1,0,2,50,2566,False
143,70,102,47831,208,48039,0,0,37,1,1,0,5,30,1653,False
144,71,103,48039,249,48288,0,0,46,1,1,0,11,33,1977,False
145,72,104,48288,310,48598,0,0,60,6,1,0,10,43,2468,False
146,73,105,48598,275,48873,0,0,51,1,1,0,13,36,2185,False
147,74,106,48873,299,49172,0,0,58,3,1,0,16,38,2380,False
148,75,107,49172,324,49496,0,0,59,2,1,0,11,45,2581,False
149,76,108,49496,90,49586,0,0,15,0,1,0,0,14,704,False
150,77,109,49586,102,49688,0,0,17,0,1,0,0,16,804,False
151,78,110,49688,107,49795,0,0,19,0,1,0,3,15,841,False
152,79,111,49795,485,50280,0,0,88,1,1,0,21,65,3867,False
153,80,112,50280,454,50734,0,0,84,3,1,1,17,62,3620,False
