command,parameter,command_flags,chain_position,offset,priority,hardware_channel,chip,sequence_pointer,next_offset
4,0,255,0,0,8,4,YM2151,26892,1
4,0,255,1,1,8,5,YM2151,26911,2
4,0,255,2,2,8,6,YM2151,26926,3
4,0,255,3,3,8,7,YM2151,26943,4
4,0,255,4,4,8,8,YM2151,26962,5
4,0,255,5,5,8,9,YM2151,26977,6
4,0,255,6,6,8,10,YM2151,26994,7
4,0,255,7,7,8,11,YM2151,27013,0
5,1,255,0,8,8,0,POKEY,26680,9
5,1,255,1,9,8,1,POKEY,26733,10
5,1,255,2,10,8,2,POKEY,26786,11
5,1,255,3,11,8,3,POKEY,26818,0
9,2,255,0,12,15,4,YM2151,32135,13
9,2,255,1,13,15,5,YM2151,32148,14
9,2,255,2,14,14,8,YM2151,32161,0
10,3,255,0,15,15,10,YM2151,32174,16
10,3,255,1,16,15,11,YM2151,32191,17
10,3,255,2,17,14,6,YM2151,32208,18
10,3,255,3,18,14,7,YM2151,32227,0
11,4,255,0,19,14,10,YM2151,32242,20
11,4,255,1,20,14,11,YM2151,32260,21
11,4,255,2,21,15,6,YM2151,32275,22
11,4,255,3,22,15,7,YM2151,32290,23
11,4,255,4,23,13,4,YM2151,32305,24
11,4,255,5,24,13,5,YM2151,32305,25
11,4,255,6,25,13,8,YM2151,32305,26
11,4,255,7,26,13,9,YM2151,32305,0
12,5,255,0,27,15,8,YM2151,32320,28
12,5,255,1,28,15,9,YM2151,32353,0
13,6,255,0,29,2,8,YM2151,32693,30
13,6,255,1,30,2,9,YM2151,32714,0
14,7,255,0,31,3,4,YM2151,32386,32
14,7,255,1,32,3,5,YM2151,32413,0
15,8,255,0,33,3,6,YM2151,32444,34
15,8,255,1,34,3,7,YM2151,32469,0
16,9,255,0,35,3,8,YM2151,32496,36
16,9,255,1,36,3,9,YM2151,32523,0
17,10,255,0,37,3,10,YM2151,32552,38
17,10,255,1,38,3,11,YM2151,32579,0
18,11,255,0,39,2,4,YM2151,32610,40
18,11,255,1,40,2,5,YM2151,32654,41
18,11,255,2,41,2,6,YM2151,32610,42
18,11,255,3,42,2,7,YM2151,32654,43
18,11,255,4,43,2,8,YM2151,32610,44
18,11,255,5,44,2,9,YM2151,32654,45
18,11,255,6,45,2,10,YM2151,32610,46
18,11,255,7,46,2,11,YM2151,32654,0
19,12,255,0,47,2,4,YM2151,32663,48
19,12,255,1,48,2,5,YM2151,32678,0
20,13,255,0,49,32,4,YM2151,33093,50
20,13,255,1,50,32,5,YM2151,33122,0
21,14,255,0,51,32,6,YM2151,33149,52
21,14,255,1,52,32,7,YM2151,33176,0
22,15,255,0,53,32,8,YM2151,33201,54
22,15,255,1,54,32,9,YM2151,33230,0
23,16,255,0,55,32,10,YM2151,33257,56
23,16,255,1,56,32,11,YM2151,33286,0
24,17,255,0,57,30,4,YM2151,32733,58
24,17,255,1,58,30,5,YM2151,32744,0
25,18,255,0,59,30,6,YM2151,32757,60
25,18,255,1,60,30,7,YM2151,32768,0
26,19,255,0,61,30,8,YM2151,32779,62
26,19,255,1,62,30,9,YM2151,32790,0
27,20,255,0,63,30,10,YM2151,32801,64
27,20,255,1,64,30,11,YM2151,32812,0
28,21,255,0,65,3,6,YM2151,32995,66
28,21,255,1,66,3,7,YM2151,33041,0
29,22,255,0,67,2,4,YM2151,32891,68
29,22,255,1,68,2,5,YM2151,32940,69
29,22,255,2,69,2,6,YM2151,32891,70
29,22,255,3,70,2,7,YM2151,32940,71
29,22,255,4,71,2,8,YM2151,32891,72
29,22,255,5,72,2,9,YM2151,32940,73
29,22,255,6,73,2,10,YM2151,32891,74
29,22,255,7,74,2,11,YM2151,32940,0
30,23,255,0,75,2,8,YM2151,32825,76
30,23,255,1,76,2,9,YM2151,32843,0
31,24,255,0,77,2,10,YM2151,32858,78
31,24,255,1,78,2,11,YM2151,32876,0
32,25,255,0,79,20,4,YM2151,33411,80
32,25,255,1,80,20,5,YM2151,33426,0
34,26,255,0,81,63,4,YM2151,33313,82
34,26,255,1,82,63,5,YM2151,33324,0
35,27,255,0,83,63,6,YM2151,33335,84
35,27,255,1,84,63,7,YM2151,33344,0
36,28,255,0,85,63,8,YM2151,33353,86
36,28,255,1,86,63,9,YM2151,33364,0
37,29,255,0,87,63,10,YM2151,33375,88
37,29,255,1,88,63,11,YM2151,33386,0
38,30,255,0,89,2,4,YM2151,33397,90
38,30,255,1,90,2,5,YM2151,33404,0
39,31,255,0,91,8,4,YM2151,33629,92
39,31,255,1,92,8,5,YM2151,33638,93
39,31,255,2,93,8,6,YM2151,33647,94
39,31,255,3,94,8,7,YM2151,33656,95
39,31,255,4,95,6,8,YM2151,33629,96
39,31,255,5,96,8,9,YM2151,33638,97
39,31,255,6,97,8,10,YM2151,33647,98
39,31,255,7,98,8,11,YM2151,33656,0
40,32,255,0,99,8,4,YM2151,33524,100
40,32,255,1,100,8,5,YM2151,33559,101
40,32,255,2,101,8,6,YM2151,33594,102
40,32,255,3,102,8,7,YM2151,33524,103
40,32,255,4,103,7,8,YM2151,33559,104
40,32,255,5,104,8,9,YM2151,33594,105
40,32,255,6,105,8,10,YM2151,33524,106
40,32,255,7,106,8,11,YM2151,33559,0
41,33,255,0,107,10,4,YM2151,33441,108
41,33,255,1,108,10,5,YM2151,33474,109
41,33,255,2,109,10,6,YM2151,33441,110
41,33,255,3,110,10,7,YM2151,33474,111
41,33,255,4,111,7,8,YM2151,33441,112
41,33,255,5,112,10,9,YM2151,33474,113
41,33,255,6,113,10,10,YM2151,33509,114
41,33,255,7,114,10,11,YM2151,33509,0
42,34,255,0,115,8,4,YM2151,26340,0
43,35,255,0,116,8,5,YM2151,26415,0
44,36,255,0,117,8,7,YM2151,26505,0
45,37,255,0,118,10,9,YM2151,26486,0
46,38,255,0,119,8,10,YM2151,26447,0
48,39,255,0,120,8,11,YM2151,26613,0
49,40,255,0,121,8,4,YM2151,26466,0
50,41,255,0,122,8,5,YM2151,26639,0
51,42,255,0,123,7,8,YM2151,26648,0
52,43,255,0,124,8,9,YM2151,26657,0
53,44,255,0,125,8,10,YM2151,26459,0
54,45,255,0,126,8,9,YM2151,32024,0
55,46,255,0,127,8,8,YM2151,26620,0
56,47,255,0,128,9,8,YM2151,26630,0
58,48,255,0,129,9,9,YM2151,32031,0
59,49,255,0,130,61,4,YM2151,31107,131
59,49,255,1,131,61,5,YM2151,31239,132
59,49,255,2,132,61,6,YM2151,31425,133
59,49,255,3,133,61,7,YM2151,31505,134
59,49,255,4,134,61,8,YM2151,31587,135
59,49,255,5,135,61,9,YM2151,31675,136
59,49,255,6,136,61,10,YM2151,31713,137
59,49,255,7,137,61,11,YM2151,31797,0
61,50,255,0,138,2,4,YM2151,29660,139
61,50,255,1,139,2,5,YM2151,30354,140
61,50,255,2,140,2,6,YM2151,30446,141
61,50,255,3,141,2,7,YM2151,30546,142
61,50,255,4,142,2,8,YM2151,30646,143
61,50,255,5,143,2,9,YM2151,30754,144
61,50,255,6,144,2,10,YM2151,30870,145
61,50,255,7,145,2,11,YM2151,30956,0
62,51,255,0,146,2,4,YM2151,29684,147
62,51,255,1,147,2,5,YM2151,30377,148
62,51,255,2,148,2,6,YM2151,30471,149
62,51,255,3,149,2,7,YM2151,30571,150
62,51,255,4,150,2,8,YM2151,30673,151
62,51,255,5,151,2,9,YM2151,30783,152
62,51,255,6,152,2,10,YM2151,30882,153
62,51,255,7,153,2,11,YM2151,30971,0
63,52,255,0,154,2,4,YM2151,29708,155
63,52,255,1,155,2,5,YM2151,30400,156
63,52,255,2,156,2,6,YM2151,30496,157
63,52,255,3,157,2,7,YM2151,30596,158
63,52,255,4,158,2,8,YM2151,30700,159
63,52,255,5,159,2,9,YM2151,30812,160
63,52,255,6,160,2,10,YM2151,30894,161
63,52,255,7,161,2,11,YM2151,30986,0
64,53,255,0,162,2,4,YM2151,29732,163
64,53,255,1,163,2,5,YM2151,30423,164
64,53,255,2,164,2,6,YM2151,30521,165
64,53,255,3,165,2,7,YM2151,30621,166
64,53,255,4,166,2,8,YM2151,30727,167
64,53,255,5,167,2,9,YM2151,30841,168
64,53,255,6,168,2,10,YM2151,30906,169
64,53,255,7,169,2,11,YM2151,31001,0
66,54,255,0,170,31,4,YM2151,31873,171
66,54,255,1,171,31,5,YM2151,31914,172
66,54,255,2,172,31,6,YM2151,31943,173
66,54,255,3,173,31,7,YM2151,31970,174
66,54,255,4,174,31,8,YM2151,31997,0
67,55,255,0,175,51,0,POKEY,25961,0
68,56,255,0,176,51,1,POKEY,25989,0
69,57,255,0,177,2,0,POKEY,26248,0
70,58,255,0,178,2,1,POKEY,26150,0
71,59,255,0,179,2,2,POKEY,26195,0
72,60,255,0,180,2,3,POKEY,26027,0
73,61,255,0,181,2,3,POKEY,26318,0
