candidate_address,mnemonic,encoded_target,classification,evidence,confidence
17229,"LDA,Y",25945,verified_aligned_instruction,bounded_r2_listing,Verified
17235,"LDA,Y",25946,verified_aligned_instruction,bounded_r2_listing,Verified
17242,"LDA,Y",25945,verified_aligned_instruction,bounded_r2_listing,Verified
17248,"LDA,Y",25946,verified_aligned_instruction,bounded_r2_listing,Verified
17506,"LDA,X",25947,verified_aligned_instruction,bounded_r2_listing,Verified
17539,"LDA,X",25950,verified_aligned_instruction,bounded_r2_listing,Verified
17546,"LDA,X",25948,verified_aligned_instruction,bounded_r2_listing,Verified
17552,"LDA,X",25949,verified_aligned_instruction,bounded_r2_listing,Verified
17572,"EOR,Y",26704,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
18088,"ORA,Y",32681,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
18183,ASL,33469,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
18562,"LDX,Y",26626,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
18638,EOR,32413,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
18700,"LDX,Y",26626,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
19237,LDX,26627,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
19311,ASL,28349,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
19602,ASL,32413,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
19623,ASL,32413,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
20305,"LDA,Y",29404,verified_aligned_instruction,bounded_r2_listing,Verified
20381,"AND,X",27912,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
20445,LDX,26967,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
20673,LDX,28758,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
21922,ASL,26904,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
22064,"ORA,Y",30240,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
22069,"ORA,Y",30240,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
22467,ASL,32841,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
22615,BIT,29865,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
22840,"EOR,Y",30728,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
22912,BIT,26760,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
22941,ROL,32937,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
23143,ADC,27957,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
23149,CPX,26156,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
23235,"LDA,Y",33539,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
23265,STA,30209,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
23373,ADC,28782,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
23374,ROR,29040,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
23382,"ADC,Y",31866,rejected_raw_byte_coincidence,not_an_instruction_start_in_bounded_listing,Verified
