start,end_inclusive,size,classification
25945,25950,6,handler_match_records
25951,25954,4,volume_envelope
25955,25957,3,frequency_envelope_candidate_extent+frequency_envelope_verified_read+volume_envelope
25958,25960,3,frequency_envelope_candidate_extent+volume_envelope
25961,25978,18,sequence_bytecode
25979,25982,4,volume_envelope
25983,25985,3,frequency_envelope_candidate_extent+frequency_envelope_verified_read+volume_envelope
25986,25988,3,frequency_envelope_candidate_extent+volume_envelope
25989,26006,18,sequence_bytecode
26007,26008,2,volume_envelope_candidate_extent+volume_envelope_verified_read
26009,26014,6,volume_envelope_candidate_extent
26015,26017,3,frequency_envelope_candidate_extent+frequency_envelope_verified_read+volume_envelope_candidate_extent
26018,26026,9,frequency_envelope_candidate_extent+volume_envelope_candidate_extent
26027,26048,22,sequence_bytecode
26049,26050,2,volume_envelope_candidate_extent+volume_envelope_verified_read
26051,26068,18,volume_envelope_candidate_extent
26069,26071,3,frequency_envelope_candidate_extent+frequency_envelope_verified_read+volume_envelope_candidate_extent
26072,26149,78,frequency_envelope_candidate_extent+volume_envelope_candidate_extent
26150,26167,18,sequence_bytecode
26168,26169,2,volume_envelope_candidate_extent+volume_envelope_verified_read
26170,26179,10,volume_envelope_candidate_extent
26180,26182,3,frequency_envelope_candidate_extent+frequency_envelope_verified_read+volume_envelope_candidate_extent
26183,26194,12,frequency_envelope_candidate_extent+volume_envelope_candidate_extent
26195,26216,22,sequence_bytecode
26217,26232,16,volume_envelope
26233,26235,3,frequency_envelope_candidate_extent+frequency_envelope_verified_read+volume_envelope
26236,26238,3,frequency_envelope_candidate_extent+volume_envelope
26239,26247,9,frequency_envelope_candidate_extent
26248,26265,18,sequence_bytecode
26266,26267,2,volume_envelope_candidate_extent+volume_envelope_verified_read
26268,26281,14,volume_envelope_candidate_extent
26282,26284,3,frequency_envelope_candidate_extent+frequency_envelope_verified_read+volume_envelope_candidate_extent
26285,26317,33,frequency_envelope_candidate_extent+volume_envelope_candidate_extent
26318,26456,139,sequence_bytecode
26457,26458,2,set_seq_ptr_unreachable_zero_trailer
26459,26665,207,sequence_bytecode
26666,26673,8,volume_envelope
26674,26676,3,frequency_envelope_candidate_extent+frequency_envelope_verified_read+volume_envelope
26677,26679,3,frequency_envelope_candidate_extent+volume_envelope
26680,26714,35,sequence_bytecode
26715,26716,2,set_seq_ptr_unreachable_zero_trailer
26717,26726,10,volume_envelope
26727,26729,3,frequency_envelope_candidate_extent+frequency_envelope_verified_read+volume_envelope
26730,26732,3,frequency_envelope_candidate_extent+volume_envelope
26733,26767,35,sequence_bytecode
26768,26769,2,set_seq_ptr_unreachable_zero_trailer
26770,26779,10,volume_envelope
26780,26782,3,frequency_envelope_candidate_extent+frequency_envelope_verified_read+volume_envelope
26783,26785,3,frequency_envelope_candidate_extent+volume_envelope
26786,26801,16,sequence_bytecode
26802,26811,10,volume_envelope
26812,26814,3,frequency_envelope_candidate_extent+frequency_envelope_verified_read+volume_envelope
26815,26817,3,frequency_envelope_candidate_extent+volume_envelope
26818,26833,16,sequence_bytecode
26834,26837,4,volume_envelope
26838,26843,6,frequency_envelope_candidate_extent+frequency_envelope_verified_read+volume_envelope
26844,26859,16,frequency_envelope_candidate_extent+frequency_envelope_verified_read
26860,26872,13,frequency_envelope_candidate_extent+frequency_envelope_verified_read+volume_envelope
26873,26891,19,frequency_envelope_candidate_extent+frequency_envelope_verified_read
26892,27049,158,frequency_envelope_verified_read+sequence_bytecode
27050,27051,2,frequency_envelope_verified_read+set_seq_ptr_unreachable_zero_trailer
27052,27093,42,frequency_envelope_verified_read
27094,27121,28,frequency_envelope_verified_read+ym2151_voice+ym2151_voice_record_structural
27122,27122,1,frequency_envelope_verified_read+ym2151_voice_record_structural
27123,27129,7,frequency_envelope_verified_read+ym2151_live_tl_verified_read+ym2151_voice_record_structural
27130,27135,6,frequency_envelope_verified_read+ym2151_voice_record_structural
27136,27163,28,ym2151_voice+ym2151_voice_record_structural
27164,27164,1,ym2151_voice_record_structural
27165,27171,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27172,27177,6,ym2151_voice_record_structural
27178,27219,42,ym2151_voice_record_unreferenced
27220,27247,28,ym2151_voice+ym2151_voice_record_structural
27248,27248,1,ym2151_voice_record_structural
27249,27255,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27256,27261,6,ym2151_voice_record_structural
27262,27289,28,ym2151_voice+ym2151_voice_record_structural
27290,27290,1,ym2151_voice_record_structural
27291,27297,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27298,27303,6,ym2151_voice_record_structural
27304,27331,28,ym2151_voice+ym2151_voice_record_structural
27332,27332,1,ym2151_voice_record_structural
27333,27339,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27340,27345,6,ym2151_voice_record_structural
27346,27373,28,ym2151_voice+ym2151_voice_record_structural
27374,27374,1,ym2151_voice_record_structural
27375,27381,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27382,27387,6,ym2151_voice_record_structural
27388,27415,28,ym2151_voice+ym2151_voice_record_structural
27416,27416,1,ym2151_voice_record_structural
27417,27423,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27424,27429,6,ym2151_voice_record_structural
27430,27457,28,ym2151_voice+ym2151_voice_record_structural
27458,27458,1,ym2151_voice_record_structural
27459,27465,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27466,27471,6,ym2151_voice_record_structural
27472,27499,28,ym2151_voice+ym2151_voice_record_structural
27500,27500,1,ym2151_voice_record_structural
27501,27507,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27508,27513,6,ym2151_voice_record_structural
27514,27541,28,ym2151_voice+ym2151_voice_record_structural
27542,27542,1,ym2151_voice_record_structural
27543,27549,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27550,27555,6,ym2151_voice_record_structural
27556,27583,28,ym2151_voice+ym2151_voice_record_structural
27584,27584,1,ym2151_voice_record_structural
27585,27591,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27592,27597,6,ym2151_voice_record_structural
27598,27639,42,ym2151_voice_record_unreferenced
27640,27667,28,ym2151_voice+ym2151_voice_record_structural
27668,27668,1,ym2151_voice_record_structural
27669,27675,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27676,27681,6,ym2151_voice_record_structural
27682,27709,28,ym2151_voice+ym2151_voice_record_structural
27710,27710,1,ym2151_voice_record_structural
27711,27717,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27718,27723,6,ym2151_voice_record_structural
27724,27807,84,ym2151_voice_record_unreferenced
27808,27835,28,ym2151_voice+ym2151_voice_record_structural
27836,27836,1,ym2151_voice_record_structural
27837,27843,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27844,27849,6,ym2151_voice_record_structural
27850,27877,28,ym2151_voice+ym2151_voice_record_structural
27878,27878,1,ym2151_voice_record_structural
27879,27885,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27886,27891,6,ym2151_voice_record_structural
27892,27919,28,ym2151_voice+ym2151_voice_record_structural
27920,27920,1,ym2151_voice_record_structural
27921,27927,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27928,27932,5,ym2151_envelope_register_block+ym2151_voice_record_structural
27933,27933,1,ym2151_voice_record_structural
27934,27961,28,ym2151_voice+ym2151_voice_record_structural
27962,27962,1,ym2151_voice_record_structural
27963,27969,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
27970,27974,5,ym2151_envelope_register_block+ym2151_voice_record_structural
27975,27975,1,ym2151_voice_record_structural
27976,28003,28,ym2151_voice+ym2151_voice_record_structural
28004,28004,1,ym2151_voice_record_structural
28005,28011,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28012,28016,5,ym2151_envelope_register_block+ym2151_voice_record_structural
28017,28017,1,ym2151_voice_record_structural
28018,28045,28,ym2151_voice+ym2151_voice_record_structural
28046,28046,1,ym2151_voice_record_structural
28047,28053,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28054,28059,6,ym2151_voice_record_structural
28060,28101,42,ym2151_voice_record_unreferenced
28102,28129,28,ym2151_voice+ym2151_voice_record_structural
28130,28130,1,ym2151_voice_record_structural
28131,28137,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28138,28143,6,ym2151_voice_record_structural
28144,28227,84,ym2151_voice_record_unreferenced
28228,28255,28,ym2151_voice+ym2151_voice_record_structural
28256,28256,1,ym2151_voice_record_structural
28257,28263,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28264,28269,6,ym2151_voice_record_structural
28270,28297,28,ym2151_voice+ym2151_voice_record_structural
28298,28298,1,ym2151_voice_record_structural
28299,28305,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28306,28311,6,ym2151_voice_record_structural
28312,28353,42,ym2151_voice_record_unreferenced
28354,28381,28,ym2151_voice+ym2151_voice_record_structural
28382,28382,1,ym2151_voice_record_structural
28383,28389,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28390,28395,6,ym2151_voice_record_structural
28396,28423,28,ym2151_voice+ym2151_voice_record_structural
28424,28424,1,ym2151_voice_record_structural
28425,28431,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28432,28437,6,ym2151_voice_record_structural
28438,28465,28,ym2151_voice+ym2151_voice_record_structural
28466,28466,1,ym2151_voice_record_structural
28467,28473,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28474,28479,6,ym2151_voice_record_structural
28480,28507,28,ym2151_voice+ym2151_voice_record_structural
28508,28508,1,ym2151_voice_record_structural
28509,28515,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28516,28521,6,ym2151_voice_record_structural
28522,28549,28,ym2151_voice+ym2151_voice_record_structural
28550,28550,1,ym2151_voice_record_structural
28551,28557,7,ym2151_live_tl_verified_read+ym2151_voice_record_structural
28558,28562,5,ym2151_envelope_register_block+ym2151_voice_record_structural
28563,28563,1,ym2151_voice_record_structural
28564,28591,28,ym2151_voice+ym2151_voice_record_structural
28592,28592,1,ym2151_voice_record_structural
