address,end_inclusive,size,raw_hex,opcode,mnemonic,target,target_kind,is_seed,seed_sources
25961,25962,2,8B 20,139,SET_CTRL_BITS,,,True,record_175
25963,25965,3,87 5F 65,135,SET_VOL_ENV,,,False,
25966,25968,3,86 63 65,134,SET_FREQ_ENV,,,False,
25969,25970,2,90 00,144,SWITCH_POKEY,,,False,
25971,25972,2,82 00,130,SET_VOLUME,,,False,
25973,25974,2,8A 40,138,SET_DISTORTION,,,False,
25975,25976,2,00 28,0,REST,,,False,
25977,25978,2,00 00,0,CHAIN,,,False,
25989,25990,2,8B 20,139,SET_CTRL_BITS,,,True,record_176
25991,25993,3,87 7B 65,135,SET_VOL_ENV,,,False,
25994,25996,3,86 7F 65,134,SET_FREQ_ENV,,,False,
25997,25998,2,90 00,144,SWITCH_POKEY,,,False,
25999,26000,2,82 00,130,SET_VOLUME,,,False,
26001,26002,2,8A 40,138,SET_DISTORTION,,,False,
26003,26004,2,00 0A,0,REST,,,False,
26005,26006,2,00 00,0,CHAIN,,,False,
26027,26028,2,8B 20,139,SET_CTRL_BITS,,,True,record_180
26029,26031,3,87 97 65,135,SET_VOL_ENV,,,False,
26032,26034,3,86 9F 65,134,SET_FREQ_ENV,,,False,
26035,26036,2,90 00,144,SWITCH_POKEY,,,False,
26037,26038,2,82 00,130,SET_VOLUME,,,False,
26039,26040,2,8A C0,138,SET_DISTORTION,,,False,
26041,26042,2,00 02,0,REST,,,False,
26043,26044,2,8A 80,138,SET_DISTORTION,,,False,
26045,26046,2,00 84,0,REST,,,False,
26047,26048,2,00 00,0,CHAIN,,,False,
26150,26151,2,8B 20,139,SET_CTRL_BITS,,,True,record_178
26152,26154,3,87 C1 65,135,SET_VOL_ENV,,,False,
26155,26157,3,86 D5 65,134,SET_FREQ_ENV,,,False,
26158,26159,2,90 00,144,SWITCH_POKEY,,,False,
26160,26161,2,82 00,130,SET_VOLUME,,,False,
26162,26163,2,8A 80,138,SET_DISTORTION,,,False,
26164,26165,2,00 28,0,REST,,,False,
26166,26167,2,00 00,0,CHAIN,,,False,
26195,26196,2,8B 20,139,SET_CTRL_BITS,,,True,record_179
26197,26199,3,87 38 66,135,SET_VOL_ENV,,,False,
26200,26202,3,86 44 66,134,SET_FREQ_ENV,,,False,
26203,26204,2,90 00,144,SWITCH_POKEY,,,False,
26205,26206,2,82 00,130,SET_VOLUME,,,False,
26207,26208,2,8A 80,138,SET_DISTORTION,,,False,
26209,26210,2,00 05,0,REST,,,False,
26211,26212,2,8A 00,138,SET_DISTORTION,,,False,
26213,26214,2,00 87,0,REST,,,False,
26215,26216,2,00 00,0,CHAIN,,,False,
26248,26249,2,8B 20,139,SET_CTRL_BITS,,,True,record_177
26250,26252,3,87 69 66,135,SET_VOL_ENV,,,False,
26253,26255,3,86 79 66,134,SET_FREQ_ENV,,,False,
26256,26257,2,90 00,144,SWITCH_POKEY,,,False,
26258,26259,2,82 00,130,SET_VOLUME,,,False,
26260,26261,2,8A 60,138,SET_DISTORTION,,,False,
26262,26263,2,00 0B,0,REST,,,False,
26264,26265,2,00 00,0,CHAIN,,,False,
26318,26319,2,8B 20,139,SET_CTRL_BITS,,,True,record_181
26320,26322,3,87 9A 66,135,SET_VOL_ENV,,,False,
26323,26325,3,86 AA 66,134,SET_FREQ_ENV,,,False,
26326,26327,2,90 00,144,SWITCH_POKEY,,,False,
26328,26329,2,82 00,130,SET_VOLUME,,,False,
26330,26331,2,8A E0,138,SET_DISTORTION,,,False,
26332,26333,2,00 24,0,REST,,,False,
26334,26335,2,8A 00,138,SET_DISTORTION,,,False,
26336,26337,2,00 83,0,REST,,,False,
26338,26339,2,00 00,0,CHAIN,,,False,
